20190301	P9	7
20190302	P4	6
20190303	P3	5
20190304	P6	7
20190305	P8	2
20190306	P0	9
20190307	P4	5
20190308	P8	15
20190348	P1	3
20190310	P9	11
20190311	P4	4
20190312	P1	5
20190313	P5	6
20190314	P3	1
20190315	P8	1
20190316	P5	6
20190317	P4	6
20190318	P3	15
20190319	P2	16
20190320	P5	3
20190321	P4	9
20190322	P7	13
20190323	P1	13
20190324	P5	11
20190323	P2	13
20190326	P8	1
20190348	P2	7
20190328	P8	7
20190329	P3	4
20190330	P5	15
20190331	P5	6
20190332	P5	4
20190333	P6	4
20190334	P3	6
20190335	P9	4
20190336	P3	6
20190348	P0	15
20190338	P0	9
20190339	P3	9
20190340	P3	8
20190341	P6	16
20190327	P2	1
20190343	P0	5
20190344	P7	13
20190327	P1	5
20190346	P3	12
20190347	P9	15
20190337	P2	13
20190349	P7	9
20190350	P9	13
20190337	P1	8
20190342	P1	1
20190342	P2	4
20190345	P2	8
20190348	P3	6
20190348	P4	1
20190348	P5	8
20190348	P6	1
20190348	P7	5
20190348	P8	11
20190348	P9	7
20190325	P2	6
20190325	P1	7
20190325	P0	15
20190325	P3	10
20190325	P4	5
20190325	P5	10
20190325	P6	3
20190325	P7	11
20190325	P8	9
20190325	P9	12
20190309	P5	1
20190309	P6	1
20190309	P7	1
20190309	P8	1
